"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"04/30/2023","AQS","361099991","1","0.041","ppm","38","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"05/01/2023","AQS","361099991","1","0.034","ppm","31","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"05/02/2023","AQS","361099991","1","0.03","ppm","28","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"05/03/2023","AQS","361099991","1","0.031","ppm","29","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"05/04/2023","AQS","361099991","1","0.032","ppm","30","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"05/05/2023","AQS","361099991","1","0.037","ppm","34","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"05/06/2023","AQS","361099991","1","0.043","ppm","40","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"05/07/2023","AQS","361099991","1","0.045","ppm","42","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"05/08/2023","AQS","361099991","1","0.048","ppm","44","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"05/09/2023","AQS","361099991","1","0.042","ppm","39","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"05/10/2023","AQS","361099991","1","0.047","ppm","44","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"05/11/2023","AQS","361099991","1","0.055","ppm","51","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"05/12/2023","AQS","361099991","1","0.065","ppm","84","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"05/13/2023","AQS","361099991","1","0.044","ppm","41","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"05/14/2023","AQS","361099991","1","0.037","ppm","34","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"05/15/2023","AQS","361099991","1","0.047","ppm","44","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"05/16/2023","AQS","361099991","1","0.053","ppm","49","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"05/17/2023","AQS","361099991","1","0.04","ppm","37","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"05/18/2023","AQS","361099991","1","0.05","ppm","46","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"05/19/2023","AQS","361099991","1","0.052","ppm","48","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"05/20/2023","AQS","361099991","1","0.041","ppm","38","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"05/21/2023","AQS","361099991","1","0.045","ppm","42","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"05/22/2023","AQS","361099991","1","0.04","ppm","37","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"05/23/2023","AQS","361099991","1","0.049","ppm","45","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"05/24/2023","AQS","361099991","1","0.046","ppm","43","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"05/25/2023","AQS","361099991","1","0.031","ppm","29","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"05/26/2023","AQS","361099991","1","0.044","ppm","41","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
